Date,Item,Sales Rep,Quantity,Price,Commission
13-07-2018,Office Chair,Laura,2,230,9%
14-07-2018,Projector,Bob,11,150,9%
14-07-2018,Projector,Stacey,15,150,8%
14-07-2018,Printer,John,17,80,9%
14-07-2018,Projector,Bob,13,150,11%
14-07-2018,White Board,Stacey,7,40,7%
14-07-2018,Office Chair,Stacey,3,230,1%
14-07-2018,White Board,Laura,12,40,2%
14-07-2018,Projector,Laura,11,150,11%
14-07-2018,White Board,Mark,21,40,3%
14-07-2018,Projector,John,22,150,7%
14-07-2018,White Board,Laura,20,40,1%
15-07-2018,Diary,Bob,22,16,12%
15-07-2018,White Board,Laura,4,40,10%
15-07-2018,Office Chair,Stacey,2,230,9%
15-07-2018,White Board,John,22,40,2%
15-07-2018,White Board,Mark,4,40,3%
15-07-2018,Diary,Mark,5,16,11%
15-07-2018,Printer,Stacey,2,80,8%
15-07-2018,Diary,Laura,9,16,5%
15-07-2018,Office Chair,Laura,6,230,5%
15-07-2018,Projector,Stacey,22,150,5%
16-07-2018,Office Chair,Stacey,8,230,1%
16-07-2018,Projector,John,22,150,5%
16-07-2018,White Board,John,5,40,6%
16-07-2018,Projector,Stacey,20,150,10%
16-07-2018,Printer,Stacey,22,80,3%
16-07-2018,Diary,John,11,16,9%
16-07-2018,Diary,Mark,22,16,1%
16-07-2018,White Board,Mark,23,40,6%
16-07-2018,Printer,Laura,14,80,10%
16-07-2018,White Board,John,18,40,6%
17-07-2018,Projector,Stacey,7,150,5%
17-07-2018,White Board,Stacey,15,40,3%
17-07-2018,Diary,John,7,16,2%
17-07-2018,Diary,Stacey,15,16,12%
17-07-2018,White Board,John,5,40,9%
17-07-2018,White Board,Bob,20,40,3%
17-07-2018,Office Chair,Stacey,11,230,12%
17-07-2018,Diary,Bob,17,16,8%
18-07-2018,Diary,John,18,16,11%
18-07-2018,Office Chair,Stacey,2,230,8%
18-07-2018,Diary,Laura,17,16,5%
18-07-2018,Printer,Stacey,16,80,5%
18-07-2018,Office Chair,Mark,14,230,5%
18-07-2018,White Board,Laura,13,40,2%
18-07-2018,Office Chair,Mark,7,230,8%
18-07-2018,White Board,Stacey,7,40,11%
18-07-2018,Office Chair,Laura,12,230,6%
18-07-2018,White Board,John,19,40,4%
19-07-2018,Office Chair,Laura,20,230,6%
19-07-2018,White Board,Bob,23,40,4%
19-07-2018,Printer,Bob,16,80,5%
19-07-2018,Projector,Mark,23,150,11%
19-07-2018,Diary,Mark,4,16,7%
19-07-2018,Office Chair,John,8,230,3%
19-07-2018,Printer,Mark,17,80,3%
19-07-2018,Printer,Stacey,10,80,10%
19-07-2018,Diary,John,20,16,11%
20-07-2018,Office Chair,Stacey,19,230,6%
20-07-2018,White Board,Laura,18,40,3%
20-07-2018,Printer,Mark,16,80,4%
20-07-2018,Printer,Stacey,8,80,6%
20-07-2018,Projector,Stacey,4,150,12%
20-07-2018,Office Chair,Laura,15,230,4%
21-07-2018,Diary,Mark,7,16,8%
21-07-2018,White Board,John,18,40,11%
21-07-2018,White Board,Laura,4,40,6%
21-07-2018,White Board,Bob,16,40,9%
21-07-2018,White Board,Mark,18,40,8%
21-07-2018,White Board,John,9,40,1%
21-07-2018,Office Chair,Stacey,16,230,11%
21-07-2018,Diary,Laura,12,16,11%
21-07-2018,Printer,Mark,2,80,7%
21-07-2018,White Board,John,2,40,12%
22-07-2018,Projector,John,13,150,5%
22-07-2018,Printer,John,14,80,8%
22-07-2018,Projector,Stacey,6,150,3%
22-07-2018,Printer,Stacey,23,80,11%
22-07-2018,Printer,Stacey,21,80,5%
22-07-2018,Diary,Laura,3,16,5%
22-07-2018,Diary,Mark,21,16,2%
22-07-2018,Printer,Stacey,4,80,11%
22-07-2018,Projector,Bob,23,150,8%
22-07-2018,Diary,Bob,23,16,1%
22-07-2018,White Board,Stacey,22,40,1%
23-07-2018,Projector,John,8,150,9%
23-07-2018,Projector,John,20,150,1%
23-07-2018,Office Chair,Mark,22,230,11%
23-07-2018,Diary,Laura,23,16,11%
23-07-2018,Printer,John,6,80,1%
23-07-2018,Diary,John,7,16,12%
23-07-2018,Printer,Mark,10,80,11%
23-07-2018,Office Chair,John,9,230,7%
24-07-2018,White Board,Mark,12,40,10%
24-07-2018,Diary,Bob,17,16,10%
24-07-2018,Projector,Laura,22,150,4%
24-07-2018,Projector,Laura,11,150,5%
24-07-2018,Printer,Bob,9,80,2%
24-07-2018,Printer,Bob,13,80,5%
24-07-2018,White Board,Bob,20,40,10%
24-07-2018,White Board,Mark,15,40,2%
25-07-2018,Projector,Bob,15,150,7%
25-07-2018,Printer,Bob,16,80,9%
25-07-2018,Office Chair,John,16,230,7%
25-07-2018,Printer,Mark,14,80,11%
25-07-2018,Printer,Bob,17,80,7%
25-07-2018,Printer,Laura,16,80,2%
25-07-2018,Diary,John,21,16,9%
25-07-2018,Projector,John,9,150,10%
25-07-2018,Projector,Stacey,3,150,1%
26-07-2018,Printer,Mark,14,80,6%
26-07-2018,Projector,Bob,4,150,5%
26-07-2018,Diary,Mark,20,16,6%
26-07-2018,Office Chair,Laura,7,230,1%
26-07-2018,Printer,Mark,9,80,3%
26-07-2018,White Board,Stacey,4,40,5%
26-07-2018,Printer,John,6,80,7%
26-07-2018,Diary,Laura,8,16,3%
26-07-2018,Diary,John,10,16,8%
26-07-2018,Diary,Stacey,22,16,3%
26-07-2018,Printer,Stacey,11,80,1%
26-07-2018,Diary,Stacey,7,16,8%
27-07-2018,Diary,Laura,11,16,12%
27-07-2018,White Board,Bob,7,40,5%
27-07-2018,Projector,Laura,9,150,6%
27-07-2018,Office Chair,John,20,230,4%
27-07-2018,Projector,Laura,9,150,2%
27-07-2018,Printer,Mark,5,80,7%
27-07-2018,Projector,Laura,20,150,4%
27-07-2018,Projector,Stacey,15,150,5%
27-07-2018,Printer,John,20,80,1%
28-07-2018,Office Chair,Mark,12,230,3%
28-07-2018,White Board,Bob,20,40,5%
28-07-2018,White Board,Bob,4,40,9%
28-07-2018,Diary,Laura,6,16,7%
28-07-2018,Printer,Mark,13,80,6%
28-07-2018,Projector,John,4,150,10%
28-07-2018,Projector,Stacey,9,150,2%
28-07-2018,Projector,John,11,150,5%
28-07-2018,Diary,Laura,6,16,6%
29-07-2018,Office Chair,Laura,14,230,12%
29-07-2018,Printer,Mark,15,80,12%
29-07-2018,Office Chair,Stacey,17,230,12%
29-07-2018,Projector,John,5,150,11%
29-07-2018,Printer,Bob,10,80,6%
29-07-2018,Printer,John,9,80,4%
29-07-2018,White Board,Bob,16,40,9%
29-07-2018,Office Chair,John,7,230,8%
29-07-2018,Printer,Stacey,17,80,5%
29-07-2018,Office Chair,John,11,230,2%
30-07-2018,White Board,John,15,40,6%
31-07-2018,Office Chair,John,7,230,2%
31-07-2018,Printer,Laura,20,80,7%
31-07-2018,Printer,Mark,3,80,2%
31-07-2018,Projector,Laura,2,150,2%
31-07-2018,Projector,Laura,22,150,9%
31-07-2018,Office Chair,John,5,230,10%
31-07-2018,Diary,Bob,12,16,4%
31-07-2018,White Board,Stacey,6,40,7%
31-07-2018,Diary,Bob,15,16,1%
